Health Care Authority (HCA),,,,,,,,,
Physician-Related Services/ Professional and Emergent Oral Healthcare Services,,,,,,,,,
"Effective July 1, 2011",,,,,,,,,
  Update 9/15/2011,,,,,,,,,
Link to Legend,,,,,,,,,
Code Status Indicator,Code,Mod,"July 1, 2011 NFS Max Allowable","July 1, 2011 FS Max allowable ",PA Required,Global Days,Assist at Surgery,Comments,
,00702,  ,4 Base,4 Base,,000,N,,
,00730,  ,5 Base,5 Base,,000,N,,
,00740,  ,5 Base,5 Base,,000,N,,
,00750,  ,4 Base,4 Base,,000,N,,
,00752,  ,6 Base,6 Base,,000,N,,
,00754,  ,7 Base,7 Base,,000,N,,
,00756,  ,7 Base,7 Base,,000,N,,
,00770,  ,15 Base,15 Base,,000,N,,
,00790,  ,7 Base,7 Base,,000,N,,
,00792,  ,13 Base,13 Base,,000,N,,
,00794,  ,8 Base,8 Base,,000,N,,
,00796,  ,30 Base,30 Base,,000,N,,
,00797,  ,11 Base,11 Base,PA,000,N,For HCA approved Bariatric Services only,
,00800,  ,4 Base,4 Base,,000,N,,
,00802,  ,5 Base,5 Base,,000,N,,
,00810,  ,5 Base,5 Base,,000,N,,
,00820,  ,5 Base,5 Base,,000,N,,
,00830,  ,4 Base,4 Base,,000,N,,
,00832,  ,6 Base,6 Base,,000,N,,
,00834,  ,5 Base,5 Base,,000,N,,
,00836,  ,6 Base,6 Base,,000,N,,
,00840,  ,6 Base,6 Base,,000,N,,
,00842,  ,4 Base,4 Base,,000,N,,
,00844,  ,7 Base,7 Base,,000,N,,
,00846,  ,8 Base,8 Base,,000,N,,
,00848,  ,8 Base,8 Base,,000,N,,
,00851,  ,6 Base,6 Base,,000,N,,
,00860,  ,6 Base,6 Base,,000,N,,
,00862,  ,7 Base,7 Base,,000,N,,
,00864,  ,8 Base,8 Base,,000,N,,
,00865,  ,7 Base,7 Base,,000,N,,
,00866,  ,10 Base,10 Base,,000,N,,
,00868,  ,10 Base,10 Base,,000,N,,
,00870,  ,5 Base,5 Base,,000,N,,
,00872,  ,7 Base,7 Base,,000,N,,
,00873,  ,5 Base,5 Base,,000,N,,
,00880,  ,15 Base,15 Base,,000,N,,
,00882,  ,10 Base,10 Base,,000,N,,
,00902,  ,5 Base,5 Base,,000,N,,
,00904,  ,7 Base,7 Base,,000,N,,
,00906,  ,4 Base,4 Base,,000,N,,
,00908,  ,6 Base,6 Base,,000,N,,
,00910,  ,3 Base,3 Base,,000,N,,
,00912,  ,5 Base,5 Base,,000,N,,
,00914,  ,5 Base,5 Base,,000,N,,
,00916,  ,5 Base,5 Base,,000,N,,
,00918,  ,5 Base,5 Base,,000,N,,
,00920,  ,3 Base,3 Base,,000,N,,
,00921,  ,3 Base,3 Base,,000,N,,
,00922,  ,6 Base,6 Base,,000,N,,
,00924,  ,4 Base,4 Base,,000,N,,
,00926,  ,4 Base,4 Base,,000,N,,
,00928,  ,6 Base,6 Base,,000,N,,
,00930,  ,4 Base,4 Base,,000,N,,
,00932,  ,4 Base,4 Base,,000,N,,
,00934,  ,6 Base,6 Base,,000,N,,
,00936,  ,8 Base,8 Base,,000,N,,
,00938,  ,4 Base,4 Base,,000,N,,
,00940,  ,3 Base,3 Base,,000,N,,
,00942,  ,4 Base,4 Base,,000,N,,
,00944,  ,6 Base,6 Base,,000,N,,
,00948,  ,4 Base,4 Base,,000,N,,
,00950,  ,5 Base,5 Base,,000,N,,
,00952,  ,4 Base,4 Base,,000,N,,
,01112,  ,5 Base,5 Base,,000,N,,
,01120,  ,6 Base,6 Base,,000,N,,
,01130,  ,3 Base,3 Base,,000,N,,
,01140,  ,15 Base,15 Base,,000,N,,
,01150,  ,10 Base,10 Base,,000,N,,
,01160,  ,4 Base,4 Base,,000,N,,
,01170,  ,8 Base,8 Base,,000,N,,
,01173,  ,12 Base,12 Base,,000,N,,
,01180,  ,3 Base,3 Base,,000,N,,
,01190,  ,4 Base,4 Base,,000,N,,
,01200,  ,4 Base,4 Base,,000,N,,
,01202,  ,4 Base,4 Base,,000,N,,
,01210,  ,6 Base,6 Base,,000,N,,
,01212,  ,10 Base,10 Base,,000,N,,
,01214,  ,8 Base,8 Base,,000,N,,
,01215,  ,10 Base,10 Base,,000,N,,
,01220,  ,4 Base,4 Base,,000,N,,
,01230,  ,6 Base,6 Base,,000,N,,
,01232,  ,5 Base,5 Base,,000,N,,
,01234,  ,8 Base,8 Base,,000,N,,
,01250,  ,4 Base,4 Base,,000,N,,
,01260,  ,3 Base,3 Base,,000,N,,
,01270,  ,8 Base,8 Base,,000,N,,
,01272,  ,4 Base,4 Base,,000,N,,
,01274,  ,6 Base,6 Base,,000,N,,
,01320,  ,4 Base,4 Base,,000,N,,
,01340,  ,4 Base,4 Base,,000,N,,
,01360,  ,5 Base,5 Base,,000,N,,
,01380,  ,3 Base,3 Base,,000,N,,
,01382,  ,3 Base,3 Base,,000,N,,
,01390,  ,3 Base,3 Base,,000,N,,
,01392,  ,4 Base,4 Base,,000,N,,
,01400,  ,4 Base,4 Base,,000,N,,
,01402,  ,7 Base,7 Base,,000,N,,
,01404,  ,5 Base,5 Base,,000,N,,
,01420,  ,3 Base,3 Base,,000,N,,
,01430,  ,3 Base,3 Base,,000,N,,
,01432,  ,6 Base,6 Base,,000,N,,
,01440,  ,8 Base,8 Base,,000,N,,
,01442,  ,8 Base,8 Base,,000,N,,
,01444,  ,8 Base,8 Base,,000,N,,
,01462,  ,3 Base,3 Base,,000,N,,
,01464,  ,3 Base,3 Base,,000,N,,
,01470,  ,3 Base,3 Base,,000,N,,
,01472,  ,5 Base,5 Base,,000,N,,
,01474,  ,5 Base,5 Base,,000,N,,
,01480,  ,3 Base,3 Base,,000,N,,
,01482,  ,4 Base,4 Base,,000,N,,
,01484,  ,4 Base,4 Base,,000,N,,
,01486,  ,7 Base,7 Base,,000,N,,
,01490,  ,3 Base,3 Base,,000,N,,
,01500,  ,8 Base,8 Base,,000,N,,
,01502,  ,6 Base,6 Base,,000,N,,
,01520,  ,3 Base,3 Base,,000,N,,
,01522,  ,5 Base,5 Base,,000,N,,
,01610,  ,5 Base,5 Base,,000,N,,
,01620,  ,4 Base,4 Base,,000,N,,
,01622,  ,4 Base,4 Base,,000,N,,
,01630,  ,5 Base,5 Base,,000,N,,
,01634,  ,9 Base,9 Base,,000,N,,
,01636,  ,15 Base,15 Base,,000,N,,
,01638,  ,10 Base,10 Base,,000,N,,
,01650,  ,6 Base,6 Base,,000,N,,
,01652,  ,10 Base,10 Base,,000,N,,
,01654,  ,8 Base,8 Base,,000,N,,
,01656,  ,10 Base,10 Base,,000,N,,
,01670,  ,4 Base,4 Base,,000,N,,
,01680,  ,3 Base,3 Base,,000,N,,
,01682,  ,4 Base,4 Base,,000,N,,
,01710,  ,3 Base,3 Base,,000,N,,
,01712,  ,5 Base,5 Base,,000,N,,
,01714,  ,5 Base,5 Base,,000,N,,
,01716,  ,5 Base,5 Base,,000,N,,
,01730,  ,3 Base,3 Base,,000,N,,
,01732,  ,3 Base,3 Base,,000,N,,
,01740,  ,4 Base,4 Base,,000,N,,
,01742,  ,5 Base,5 Base,,000,N,,
,01744,  ,5 Base,5 Base,,000,N,,
,01756,  ,6 Base,6 Base,,000,N,,
,01758,  ,5 Base,5 Base,,000,N,,
,01760,  ,7 Base,7 Base,,000,N,,
,01770,  ,6 Base,6 Base,,000,N,,
,01772,  ,6 Base,6 Base,,000,N,,
,01780,  ,3 Base,3 Base,,000,N,,
,01782,  ,4 Base,4 Base,,000,N,,
,01810,  ,3 Base,3 Base,,000,N,,
,01820,  ,3 Base,3 Base,,000,N,,
,01829,  ,3 Base,3 Base,,000,N,,
,01830,  ,3 Base,3 Base,,000,N,,
,01832,  ,6 Base,6 Base,,000,N,,
,01840,  ,6 Base,6 Base,,000,N,,
,01842,  ,6 Base,6 Base,,000,N,,
,01844,  ,6 Base,6 Base,,000,N,,
,01850,  ,3 Base,3 Base,,000,N,,
,01852,  ,4 Base,4 Base,,000,N,,
,01860,  ,3 Base,3 Base,,000,N,,
,01916,  ,5 Base,5 Base,,000,N,,
,01920,  ,7 Base,7 Base,,000,N,,
L,01922,  ,7 Base,7 Base,,000,N,,
,01924,  ,6 Base,6 Base,,000,N,,
,01925,  ,8 Base,8 Base,,000,N,,
,01926,  ,10 Base,10 Base,,000,N,,
,01930,  ,5 Base,5 Base,,000,N,,
,01931,  ,7 Base,7 Base,,000,N,,
,01932,  ,7 Base,7 Base,,000,N,,
,01933,  ,8 Base,8 Base,,000,N,,
,01935,,5 Base,5 Base,,000,N,,
,01936,,5 Base,5 Base,,000,N,,
,01951,  ,3 Base,3 Base,,000,N,,
,01952,  ,5 Base,5 Base,,000,N,,
,01953,  ,22.20,22.20,,000,N,,
,01958,,5 Base,5 Base,,000,N,,
,01960,  ,5 Base,5 Base,,000,N,,
,01961,  ,7 Base,7 Base,,000,N,,
,01962,  ,8 Base,8 Base,,000,N,,
,01963,  ,10 Base,10 Base,,000,N,,
,01965,  ,4 Base,4 Base,,000,N,,
,01966,  ,4 Base,4 Base,,000,N,,
,01967,  ,5 Base,5 Base,,000,N,,
,01968,  ,3 Base,3 Base,,000,N,,
,01969,  ,5 Base,5 Base,,000,N,,
,01990,  ,7 Base,7 Base,,000,N,,
,01991,  ,3 Base,3 Base,,000,N,,
,01992,  ,5 Base,5 Base,,000,N,,
,01996,  ,22.75 ,22.15 ,,000,N,,
,01999,  ,B.R.,B.R.,,000,N,,
,10021,  ,84.75,41.07,,000,N,,
,10022,  ,81.53,38.65,,000,N,,
,10040,  ,59.99,52.34,,010,N,,
,10060,  ,64.82,54.75,,010,N,,
,10061,  ,107.49,94.01,,010,N,,
,10080,  ,99.44,57.77,,010,N,,
,10081,  ,152.38,98.23,,010,N,,
,10120,  ,80.12,53.55,,010,N,,
,10121,  ,154.80,107.29,,010,N,,
,10140,  ,91.59,68.64,,010,N,,
,10160,  ,74.28,55.76,,010,N,,
,10180,  ,138.70,103.07,,010,N,,
,11000,  ,31.00,17.51,,000,N,,
,11001,  ,12.48,8.86,,000,N,,
,11004,  ,341.40,341.40,,000,N,,
,11005,  ,455.34,455.34,,000,N,,
,11006,  ,416.29,416.29,,000,N,,
,11008,  ,160.03,160.03,,000,N,,
,11010,  ,280.01,164.06,,010,N,,
,11011,  ,306.38,175.13,,000,N,,
,11012,  ,411.05,250.82,,000,N,,
,11042,  ,51.73,27.78,,000,N,,
,11043,  ,113.13,71.86,,000,N,,
,11044,  ,171.71,124.20,,000,N,,
,11045,,18.32,10.47,,000,N,,
,11046,,31.60,22.14,,000,N,,
,11047,,51.94,38.65,,000,N,,
,11055,  ,28.79,12.08,,000,N,,
,11056,  ,34.42,17.11,,000,N,,
,11057,  ,40.66,22.14,,000,N,,
,11100,  ,61.20,29.19,,000,N,,
,11101,  ,19.32,14.90,,000,N,,
,11200,  ,#,#,,010,N,,
,11201,  ,#,#,,000,N,,
,11300,  ,40.46,17.51,,000,N,,
,11301,  ,54.75,29.99,,000,N,,
,11302,  ,65.42,37.44,,000,N,,
,11303,  ,77.10,43.88,,000,N,,
,11305,  ,40.46,19.93,,000,N,,
,11306,  ,55.96,32.21,,000,N,,
,11307,  ,66.23,38.65,,000,N,,
,11308,  ,73.27,44.69,,000,N,,
,11310,  ,49.92,25.57,,000,N,,
,11311,  ,62.81,37.44,,000,N,,
,11312,  ,73.07,43.28,,000,N,,
,11313,  ,90.38,57.97,,000,N,,
,11400,  ,69.85,45.49,,010,N,,
,11401,  ,85.15,59.79,,010,N,,
,11402,  ,94.81,65.83,,010,N,,
,11403,  ,108.70,83.94,,010,N,,
,11404,  ,123.60,92.80,,010,N,,
,11406,  ,175.33,139.10,,010,N,,
,11420,  ,69.65,47.51,,010,N,,
,11421,  ,90.18,64.42,,010,N,,
,11422,  ,100.45,78.10,,010,N,,
,11423,  ,116.15,90.79,,010,N,,
,11424,  ,133.26,103.67,,010,N,,
,11426,  ,190.03,157.62,,010,N,,
,11440,  ,76.90,58.98,,010,N,,
,11441,  ,96.42,76.09,,010,N,,
,11442,  ,108.70,84.55,,010,N,,
,11443,  ,129.23,103.67,,010,N,,
,11444,  ,162.25,131.85,,010,N,,
,11446,  ,222.84,187.81,,010,N,,
,11450,  ,211.77,141.11,,090,N,,
,11451,  ,270.14,182.38,,090,N,,
,11462,  ,208.14,135.68,,090,N,,
,11463,  ,275.98,185.60,,090,N,,
,11470,  ,231.50,159.43,,090,N,,
,11471,  ,286.05,196.87,,090,N,,
,11600,  ,108.50,68.24,,010,N,,
,11601,  ,131.85,87.16,,010,N,,
,11602,  ,144.33,95.82,,010,N,,
,11603,  ,163.66,113.94,,010,N,,
,11604,  ,181.17,125.01,,010,N,,
,11606,  ,255.65,183.99,,010,N,,
,11620,  ,110.51,69.65,,010,N,,
,11621,  ,132.86,87.97,,010,N,,
,11622,  ,149.57,101.25,,010,N,,
,11623,  ,174.53,124.40,,010,N,,
,11624,  ,195.86,140.51,,010,N,,
,11626,  ,236.12,172.92,,010,N,,
,11640,  ,114.74,72.67,,010,N,,
,11641,  ,138.70,92.80,,010,N,,
,11642,  ,158.83,109.10,,010,N,,
,11643,  ,186.81,136.08,,010,N,,
,11644,  ,229.88,168.49,,010,N,,
,11646,  ,300.14,234.51,,010,N,,
,11719,  ,12.68,4.83,,000,N,,
,11720,  ,18.32,9.06,,000,N,,
,11721,  ,24.96,15.30,,000,N,,
,11730,  ,55.96,31.00,,000,N,,
,11732,  ,25.57,16.10,,000,N,,
,11740,  ,27.38,18.72,,000,N,,
,11750,  ,126.42,101.46,,010,N,,
,11752,  ,181.98,152.99,,010,N,,
,11755,  ,77.50,47.31,,000,N,,
,11760,  ,125.61,76.90,,010,N,,
,11762,  ,157.82,110.51,,010,N,,
,11765,  ,80.32,40.46,,010,N,,
,11770,  ,154.40,104.27,,010,N,,
,11771,  ,319.26,245.18,,090,N,,
,11772,  ,382.67,320.67,,090,N,,
,11900,  ,33.01,18.52,,000,N,,
,11901,  ,41.67,28.99,,000,N,,
L,11920,  ,103.27,67.84,,000,N,,
L,11921,  ,118.97,80.12,,000,N,,
,11922,  ,#,#,,000,N,,
,11950,  ,#,#,,000,N,,
,11951,  ,#,#,,000,N,,
,11952,  ,#,#,,000,N,,
,11954,  ,#,#,,000,N,,
L,11960,  ,529.22,529.22,,090,N,,
L,11970,  ,357.91,357.91,,090,N,,
L,11971,  ,273.16,183.59,,090,N,,
,11975,  ,#,#,,000,N,,
,11976,  ,85.15,$56.16,,000,N,,
,11977,  ,#,#,,000,N,,
L,11980,  ,60.99,47.51,,000,N,,
L,11981,  ,79.11,48.92,,000,N,,
L,11982,  ,88.37,58.38,,000,N,,
L,11983,  ,131.05,104.07,,000,N,,
,12001,  ,56.77,32.41,,000,N,,
,12002,  ,66.63,41.47,,000,N,,
,12004,  ,78.91,50.33,,000,N,,
,12005,  ,101.66,66.23,,000,N,,
,12006,  ,122.59,80.92,,000,N,,
,12007,  ,142.92,97.23,,000,N,,
,12011,  ,68.04,38.65,,000,N,,
,12013,  ,73.07,43.68,,000,N,,
,12014,  ,86.36,54.15,,000,N,,
,12015,  ,105.88,66.43,,000,N,,
,12016,  ,132.25,87.97,,000,N,,
,12017,  ,100.65,100.65,,000,N,,
,12018,  ,119.57,119.57,,000,Y,,
,12020,  ,157.42,108.50,,010,N,,
,12021,  ,93.20,80.12,,010,N,,
,12031,  ,142.72,95.01,,010,N,,
,12032,  ,180.16,115.14,,010,N,,
,12034,  ,178.96,119.57,,010,N,,
,12035,  ,217.00,138.09,,010,N,,
,12036,  ,236.73,157.82,,010,N,,
,12037,  ,265.11,182.78,,010,N,,
,12041,  ,148.96,100.85,,010,N,,
,12042,  ,170.70,117.36,,010,N,,
,12044,  ,202.11,124.40,,010,N,,
,12045,  ,216.20,141.51,,010,N,,
,12046,  ,256.05,167.68,,010,N,,
,12047,  ,278.00,180.57,,010,Y,,
,12051,  ,157.62,107.29,,010,N,,
,12052,  ,180.16,128.43,,010,N,,
,12053,  ,198.68,127.02,,010,N,,
,12054,  ,210.56,133.26,,010,N,,
,12055,  ,252.43,159.23,,010,N,,
,12056,  ,302.35,202.11,,010,N,,
,12057,  ,344.83,223.64,,010,Y,,
,13100,  ,183.99,138.49,,010,N,,
,13101,  ,233.91,168.69,,010,N,,
,13102,  ,63.21,44.29,,000,N,,
,13120,  ,191.44,145.14,,010,N,,
,13121,  ,260.88,193.85,,010,N,,
,13122,  ,69.85,50.73,,000,N,,
,13131,  ,211.16,163.46,,010,N,,
,13132,  ,341.81,279.00,,010,N,,
,13133,  ,98.84,78.71,,000,N,,
,13150,  ,209.96,162.25,,010,N,,
,13151,  ,239.14,188.42,,010,N,,
,13152,  ,330.53,252.43,,010,N,,
,13153,  ,108.50,84.55,,000,N,,
,13160,  ,472.25,472.25,,090,N,,
,14000,  ,365.56,298.53,,090,N,,
,14001,  ,471.44,391.53,,090,N,,
,14020,  ,410.65,340.00,,090,N,,
,14021,  ,515.73,433.80,,090,N,,
,14040,  ,452.72,382.27,,090,N,,
,14041,  ,561.22,471.24,,090,N,,
,14060,  ,459.57,404.41,,090,N,,
,14061,  ,602.49,503.05,,090,N,,
,14301,,648.99,541.50,,090,Y,,
,14302,,137.69,137.69,,000,Y,,
,14350,  ,424.34,424.34,,090,N,,
,15002,,196.87,132.66,,000,N,,
,15003,,42.68,26.57,,000,N,,
,15004,,231.70,160.84,,000,N,,
,15005,,70.66,52.94,,000,N,,
,15040,  ,148.96,74.48,,000,N,,
,15050,  ,327.72,263.50,,090,N,,
,15100,  ,503.25,420.52,,090,N,,
,15101,  ,109.31,65.22,,000,N,,
,15110,  ,495.00,430.18,,090,N,,
,15111,  ,68.64,61.40,,000,N,,
,15115,  ,504.26,445.07,,090,N,,
,15116,  ,99.04,89.98,,000,N,,
,15120,  ,557.00,464.20,,090,N,,
,15121,  ,156.01,100.45,,000,N,,
,15130,  ,393.94,330.53,,090,N,,
,15131,  ,58.98,53.75,,000,N,,
,15135,  ,507.88,449.70,,090,N,,
,15136,  ,52.14,48.31,,000,N,,
,15150,  ,402.40,367.98,,090,N,,
,15151,  ,76.90,71.06,,000,N,,
,15152,  ,90.38,84.14,,000,N,,
,15155,  ,379.65,351.27,,090,N,,
,15156,  ,98.23,92.40,,000,N,,
,15157,  ,97.03,89.78,,000,N,,
,15170,  ,252.63,216.40,,090,N,,
,15171,  ,54.75,51.73,,000,N,,
,15175,  ,301.95,268.13,,090,N,,
,15176,  ,85.96,79.92,,000,N,,
,15200,  ,479.30,392.33,,090,N,,
,15201,  ,87.16,47.31,,000,N,,
,15220,  ,452.12,366.37,,090,N,,
,15221,  ,80.72,42.68,,000,N,,
,15240,  ,546.33,474.46,,090,N,,
,15241,  ,108.70,67.03,,000,N,,
,15260,  ,592.63,513.32,,090,N,,
,15261,  ,126.82,85.15,,000,N,,
,15300,  ,202.71,170.30,,090,N,,
,15301,  ,36.44,33.21,,000,N,,
,15320,  ,218.01,182.98,,090,N,,
,15321,  ,54.75,50.53,,000,N,,
,15330,  ,188.62,155.60,,090,N,,
,15331,  ,37.24,34.22,,000,N,,
,15335,  ,186.40,154.40,,090,N,,
,15336,  ,52.34,46.90,,000,N,,
,15340,  ,183.18,155.60,,010,N,,
,15341,  ,27.38,15.30,,000,N,,
,15360,  ,209.15,177.35,,090,N,,
,15361,  ,38.05,34.62,,000,N,,
,15365,  ,200.49,171.71,,090,N,,
,15366,  ,47.51,42.88,,000,N,,
,15400,  ,236.93,208.75,,090,N,,
,15401,  ,53.14,33.42,,000,N,,
,15420,  ,257.46,226.66,,090,N,,
,15421,  ,67.64,50.33,,000,N,,
,15430,  ,316.04,302.76,,090,N,,
,15431,  ,B.R.,B.R.,,000,N,,
,15570,  ,521.37,423.33,,090,N,,
,15572,  ,508.89,432.59,,090,N,,
,15574,  ,532.64,452.12,,090,N,,
,15576,  ,473.66,398.37,,090,N,,
,15600,  ,191.44,120.98,,090,N,,
,15610,  ,200.70,141.31,,090,N,,
,15620,  ,257.66,190.23,,090,N,,
,15630,  ,272.36,206.13,,090,N,,
,15650,  ,300.74,229.28,,090,N,,
,15731,,670.73,605.11,,090,N,,
,15732,  ,880.89,785.47,,090,N,,
,15734,  ,893.57,791.11,,090,Y,,
,15736,  ,787.08,681.60,,090,N,,
,15738,  ,836.40,738.17,,090,Y,,
,15740,  ,604.10,515.93,,090,N,,
,15750,  ,539.08,539.08,,090,Y,,
,15756,  ,"1,392.79","1,392.79",,090,Y,,
,15757,  ,"1,380.52","1,380.52",,090,Y,,
,15758,  ,"1,374.48","1,374.48",,090,Y,,
,15760,  ,500.83,421.12,,090,N,,
,15770,  ,392.94,392.94,,090,Y,,
,15775,  ,#,#,,000,N,,
,15776,  ,#,#,,000,N,,
,15780,  ,484.13,372.61,,090,N,,
,15781,  ,320.27,255.45,,090,N,,
,15782,  ,326.91,235.12,,090,N,,
,15783,  ,287.46,222.24,,090,N,,
,15786,  ,142.32,81.53,,010,N,,
,15787,  ,28.38,10.47,,000,N,,
,15788,  ,265.51,145.94,,090,N,,
,15789,  ,331.14,252.23,,090,N,,
,15792,  ,255.05,156.41,,090,N,,
,15793,  ,286.85,215.79,,090,N,,
,15819,  ,#,#,,090,N,,
,15820,  ,#,#,,090,N,,
,15821,  ,#,#,,090,N,,
,15822,  ,254.64,225.05,EPA,090,N,,
,15823,  ,358.31,324.90,EPA,090,N,,
,15824,  ,#,#,,000,N,,
,15825,  ,#,#,,000,N,,
,15826,  ,#,#,,000,N,,
,15828,  ,#,#,,000,N,,
,15829,  ,#,#,,000,N,,
,15830,,682.41,682.41,PA,090,Y,,
,15832,  ,#,#,,090,Y,,
,15833,  ,#,#,,090,N,,
,15834,  ,#,#,,090,N,,
,15835,  ,#,#,,090,N,,
,15836,  ,#,#,,090,N,,
,15837,  ,#,#,,090,N,,
,15838,  ,#,#,,090,N,,
,15839,  ,#,#,,090,N,,
,15840,  ,602.29,602.29,,090,N,,
,15841,  ,997.04,997.04,,090,Y,,
,15842,  ,"1,494.05","1,494.05",,090,Y,,
,15845,  ,577.53,577.53,,090,Y,,
,15847,,#,#,,000,Y,,
,15850,  ,Bundled,Bundled,,000,N,,
,15851,  ,55.76,26.97,,000,N,,
,15852,  ,27.38,27.38,,000,N,,
,15860,  ,63.81,63.81,,000,N,,
,15876,  ,#,#,,000,N,,
,15877,  ,#,#,,000,N,,
,15878,  ,#,#,,000,N,,
,15879,  ,#,#,,000,N,,
,15920,  ,349.66,349.66,,090,N,,
,15922,  ,451.31,451.31,,090,Y,,
,15931,  ,390.32,390.32,,090,N,,
,15933,  ,484.53,484.53,,090,N,,
,15934,  ,537.87,537.87,,090,N,,
,15935,  ,637.32,637.32,,090,Y,,
,15936,  ,519.15,519.15,,090,N,,
,15937,  ,607.93,607.93,,090,N,,
,15940,  ,402.60,402.60,,090,N,,
,15941,  ,523.18,523.18,,090,N,,
,15944,  ,520.16,520.16,,090,N,,
,15945,  ,577.73,577.73,,090,N,,
,15946,  ,958.79,958.79,,090,N,,
,15950,  ,331.54,331.54,,090,N,,
,15951,  ,500.23,500.23,,090,N,,
,15952,  ,486.54,486.54,,090,Y,,
,15953,  ,534.85,534.85,,090,N,,
,15956,  ,673.75,673.75,,090,N,,
,15958,  ,688.04,688.04,,090,N,,
,15999,  ,B.R.,B.R.,,090,N,,
