Medicaid Purchasing Administration ,,,,,,,,
Physician-Related Services/ Professional and Emergent Oral Healthcare Services,,,,,,,,
"Effective January 1, 2011",,,,,,,,
"Fee Schedule Updated March 30, 2012",,,,,,,,
Link to Legend,,,,,,,,
Code Status Indicator,Code,Mod,NFS Maximum Allowable ,FS Maximum Allowable ,PA Required,Global Days,Assist at surgery,Comments
,00752,  ,6 Base,6 Base,,000,N,
,00754,  ,7 Base,7 Base,,000,N,
,00756,  ,7 Base,7 Base,,000,N,
,00770,  ,15 Base,15 Base,,000,N,
,00790,  ,7 Base,7 Base,,000,N,
,00792,  ,13 Base,13 Base,,000,N,
,00794,  ,8 Base,8 Base,,000,N,
,00796,  ,30 Base,30 Base,,000,N,
,00797,  ,11 Base,11 Base,PA,000,N,For MPA approved Bariatric Services Only
,00800,  ,4 Base,4 Base,,000,N,
,00802,  ,5 Base,5 Base,,000,N,
,00810,  ,5 Base,5 Base,,000,N,
,00820,  ,5 Base,5 Base,,000,N,
,00830,  ,4 Base,4 Base,,000,N,
,00832,  ,6 Base,6 Base,,000,N,
,00834,  ,5 Base,5 Base,,000,N,
,00836,  ,6 Base,6 Base,,000,N,
,00840,  ,6 Base,6 Base,,000,N,
,00842,  ,4 Base,4 Base,,000,N,
,00844,  ,7 Base,7 Base,,000,N,
,00846,  ,8 Base,8 Base,,000,N,
,00848,  ,8 Base,8 Base,,000,N,
,00851,  ,6 Base,6 Base,,000,N,
,00860,  ,6 Base,6 Base,,000,N,
,00862,  ,7 Base,7 Base,,000,N,
,00864,  ,8 Base,8 Base,,000,N,
,00865,  ,7 Base,7 Base,,000,N,
,00866,  ,10 Base,10 Base,,000,N,
,00868,  ,10 Base,10 Base,,000,N,
,00870,  ,5 Base,5 Base,,000,N,
,00872,  ,7 Base,7 Base,,000,N,
,00873,  ,5 Base,5 Base,,000,N,
,00880,  ,15 Base,15 Base,,000,N,
,00882,  ,10 Base,10 Base,,000,N,
,00902,  ,5 Base,5 Base,,000,N,
,00904,  ,7 Base,7 Base,,000,N,
,00906,  ,4 Base,4 Base,,000,N,
,00908,  ,6 Base,6 Base,,000,N,
,00910,  ,3 Base,3 Base,,000,N,
,00912,  ,5 Base,5 Base,,000,N,
,00914,  ,5 Base,5 Base,,000,N,
,00916,  ,5 Base,5 Base,,000,N,
,00918,  ,5 Base,5 Base,,000,N,
,00920,  ,3 Base,3 Base,,000,N,
,00921,  ,3 Base,3 Base,,000,N,
,00922,  ,6 Base,6 Base,,000,N,
,00924,  ,4 Base,4 Base,,000,N,
,00926,  ,4 Base,4 Base,,000,N,
,00928,  ,6 Base,6 Base,,000,N,
,00930,  ,4 Base,4 Base,,000,N,
,00932,  ,4 Base,4 Base,,000,N,
,00934,  ,6 Base,6 Base,,000,N,
,00936,  ,8 Base,8 Base,,000,N,
,00938,  ,4 Base,4 Base,,000,N,
,00940,  ,3 Base,3 Base,,000,N,
,00942,  ,4 Base,4 Base,,000,N,
,00944,  ,6 Base,6 Base,,000,N,
,00948,  ,4 Base,4 Base,,000,N,
,00950,  ,5 Base,5 Base,,000,N,
,00952,  ,4 Base,4 Base,,000,N,
,01112,  ,5 Base,5 Base,,000,N,
,01120,  ,6 Base,6 Base,,000,N,
,01130,  ,3 Base,3 Base,,000,N,
,01140,  ,15 Base,15 Base,,000,N,
,01150,  ,10 Base,10 Base,,000,N,
,01160,  ,4 Base,4 Base,,000,N,
,01170,  ,8 Base,8 Base,,000,N,
,01173,  ,12 Base,12 Base,,000,N,
,01180,  ,3 Base,3 Base,,000,N,
,01190,  ,4 Base,4 Base,,000,N,
,01200,  ,4 Base,4 Base,,000,N,
,01202,  ,4 Base,4 Base,,000,N,
,01210,  ,6 Base,6 Base,,000,N,
,01212,  ,10 Base,10 Base,,000,N,
,01214,  ,8 Base,8 Base,,000,N,
,01215,  ,10 Base,10 Base,,000,N,
,01220,  ,4 Base,4 Base,,000,N,
,01230,  ,6 Base,6 Base,,000,N,
,01232,  ,5 Base,5 Base,,000,N,
,01234,  ,8 Base,8 Base,,000,N,
,01250,  ,4 Base,4 Base,,000,N,
,01260,  ,3 Base,3 Base,,000,N,
,01270,  ,8 Base,8 Base,,000,N,
,01272,  ,4 Base,4 Base,,000,N,
,01274,  ,6 Base,6 Base,,000,N,
,01320,  ,4 Base,4 Base,,000,N,
,01340,  ,4 Base,4 Base,,000,N,
,01360,  ,5 Base,5 Base,,000,N,
,01380,  ,3 Base,3 Base,,000,N,
,01382,  ,3 Base,3 Base,,000,N,
,01390,  ,3 Base,3 Base,,000,N,
,01392,  ,4 Base,4 Base,,000,N,
,01400,  ,4 Base,4 Base,,000,N,
,01402,  ,7 Base,7 Base,,000,N,
,01404,  ,5 Base,5 Base,,000,N,
,01420,  ,3 Base,3 Base,,000,N,
,01430,  ,3 Base,3 Base,,000,N,
,01432,  ,6 Base,6 Base,,000,N,
,01440,  ,8 Base,8 Base,,000,N,
,01442,  ,8 Base,8 Base,,000,N,
,01444,  ,8 Base,8 Base,,000,N,
,01462,  ,3 Base,3 Base,,000,N,
,01464,  ,3 Base,3 Base,,000,N,
,01470,  ,3 Base,3 Base,,000,N,
,01472,  ,5 Base,5 Base,,000,N,
,01474,  ,5 Base,5 Base,,000,N,
,01480,  ,3 Base,3 Base,,000,N,
,01482,  ,4 Base,4 Base,,000,N,
,01484,  ,4 Base,4 Base,,000,N,
,01486,  ,7 Base,7 Base,,000,N,
,01490,  ,3 Base,3 Base,,000,N,
,01500,  ,8 Base,8 Base,,000,N,
,01502,  ,6 Base,6 Base,,000,N,
,01520,  ,3 Base,3 Base,,000,N,
,01522,  ,5 Base,5 Base,,000,N,
,01610,  ,5 Base,5 Base,,000,N,
,01620,  ,4 Base,4 Base,,000,N,
,01622,  ,4 Base,4 Base,,000,N,
,01630,  ,5 Base,5 Base,,000,N,
,01634,  ,9 Base,9 Base,,000,N,
,01636,  ,15 Base,15 Base,,000,N,
,01638,  ,10 Base,10 Base,,000,N,
,01650,  ,6 Base,6 Base,,000,N,
,01652,  ,10 Base,10 Base,,000,N,
,01654,  ,8 Base,8 Base,,000,N,
,01656,  ,10 Base,10 Base,,000,N,
,01670,  ,4 Base,4 Base,,000,N,
,01680,  ,3 Base,3 Base,,000,N,
,01682,  ,4 Base,4 Base,,000,N,
,01710,  ,3 Base,3 Base,,000,N,
,01712,  ,5 Base,5 Base,,000,N,
,01714,  ,5 Base,5 Base,,000,N,
,01716,  ,5 Base,5 Base,,000,N,
,01730,  ,3 Base,3 Base,,000,N,
,01732,  ,3 Base,3 Base,,000,N,
,01740,  ,4 Base,4 Base,,000,N,
,01742,  ,5 Base,5 Base,,000,N,
,01744,  ,5 Base,5 Base,,000,N,
,01756,  ,6 Base,6 Base,,000,N,
,01758,  ,5 Base,5 Base,,000,N,
,01760,  ,7 Base,7 Base,,000,N,
,01770,  ,6 Base,6 Base,,000,N,
,01772,  ,6 Base,6 Base,,000,N,
,01780,  ,3 Base,3 Base,,000,N,
,01782,  ,4 Base,4 Base,,000,N,
,01810,  ,3 Base,3 Base,,000,N,
,01820,  ,3 Base,3 Base,,000,N,
,01829,  ,3 Base,3 Base,,000,N,
,01830,  ,3 Base,3 Base,,000,N,
,01832,  ,6 Base,6 Base,,000,N,
,01840,  ,6 Base,6 Base,,000,N,
,01842,  ,6 Base,6 Base,,000,N,
,01844,  ,6 Base,6 Base,,000,N,
,01850,  ,3 Base,3 Base,,000,N,
,01852,  ,4 Base,4 Base,,000,N,
,01860,  ,3 Base,3 Base,,000,N,
,01916,  ,5 Base,5 Base,,000,N,
,01920,  ,7 Base,7 Base,,000,N,
L,01922,  ,7 Base,7 Base,,000,N,
,01924,  ,6 Base,6 Base,,000,N,
,01925,  ,8 Base,8 Base,,000,N,
,01926,  ,10 Base,10 Base,,000,N,
,01930,  ,5 Base,5 Base,,000,N,
,01931,  ,7 Base,7 Base,,000,N,
,01932,  ,7 Base,7 Base,,000,N,
,01933,  ,8 Base,8 Base,,000,N,
,01935,,5 Base,5 Base,,000,N,
,01936,,5 Base,5 Base,,000,N,
,01951,  ,3 Base,3 Base,,000,N,
,01952,  ,5 Base,5 Base,,000,N,
,01953,  ,21.20,21.20,,000,N,
,01958,,5 Base,5 Base,,000,N,
,01960,  ,5 Base,5 Base,,000,N,
,01961,  ,7 Base,7 Base,,000,N,
,01962,  ,8 Base,8 Base,,000,N,
,01963,  ,10 Base,10 Base,,000,N,
,01965,  ,4 Base,4 Base,,000,N,
,01966,  ,4 Base,4 Base,,000,N,
,01967,  ,5 Base,5 Base,,000,N,
,01968,  ,3 Base,3 Base,,000,N,
,01969,  ,5 Base,5 Base,,000,N,
,01990,  ,7 Base,7 Base,,000,N,
,01991,  ,3 Base,3 Base,,000,N,
,01992,  ,5 Base,5 Base,,000,N,
,01996,  ,23.12 ,23.12 ,,000,N,
,01999,  ,B.R.,B.R.,,000,N,
,10021,  ,80.25,40.90,,000,N,
,10022,  ,79.81,39.35,,000,N,
,10040,  ,57.80,50.91,,010,N,
,10060,  ,62.02,52.91,,010,N,
,10061,  ,104.70,92.70,,010,N,
,10080,  ,93.14,55.58,,010,N,
,10081,  ,145.61,96.03,,010,N,
,10120,  ,76.03,52.02,,010,N,
,10121,  ,146.72,104.93,,010,N,
,10140,  ,86.92,67.13,,010,N,
,10160,  ,70.91,54.46,,010,N,
,10180,  ,131.38,100.04,,010,N,
,11000,  ,29.79,18.01,,000,N,
,11001,  ,12.23,8.89,,000,N,
,11004,  ,343.23,343.23,,000,N,
,11005,  ,454.60,454.60,,000,N,
,11006,  ,417.92,417.92,,000,N,
,11008,  ,159.61,159.61,,000,N,
,11010,  ,262.76,160.28,,010,N,
,11011,  ,291.44,172.73,,000,N,
,11012,  ,393.47,247.42,,000,N,
D,11040,  ,,,,,,
D,11041,  ,,,,,,
,11042,  ,40.90,25.56,,000,N,
,11043,  ,156.94,136.71,,010,N,
,11044,  ,215.63,188.96,,010,N,
N,11045,,19.78,11.34,,000,N,
N/R,11046,,34.46,24.01,,000,N,
N/R,11047,,56.46,41.79,,000,N,
,11055,  ,27.12,12.67,,000,N,
,11056,  ,32.68,17.78,,000,N,
,11057,  ,39.12,23.12,,000,N,
,11100,  ,58.02,28.68,,000,N,
,11101,  ,18.90,14.67,,000,N,
,11200,  ,#,#,,010,N,
,11201,  ,#,#,,000,N,
,11300,  ,38.24,17.34,,000,N,
,11301,  ,52.24,29.57,,000,N,
,11302,  ,62.47,36.68,,000,N,
,11303,  ,73.36,43.13,,000,N,
,11305,  ,38.68,20.67,,000,N,
,11306,  ,53.80,32.23,,000,N,
,11307,  ,63.80,38.68,,000,N,
,11308,  ,70.47,45.13,,000,N,
,11310,  ,47.35,25.12,,000,N,
,11311,  ,60.24,36.90,,000,N,
,11312,  ,69.80,42.68,,000,N,
,11313,  ,86.92,56.69,,000,N,
,11400,  ,65.58,43.57,,010,N,
,11401,  ,80.47,57.58,,010,N,
,11402,  ,89.81,63.36,,010,N,
,11403,  ,103.37,80.47,,010,N,
,11404,  ,117.37,89.36,,010,N,
,11406,  ,167.39,134.71,,010,N,
,11420,  ,66.02,45.79,,010,N,
,11421,  ,85.59,62.24,,010,N,
,11422,  ,95.37,75.36,,010,N,
,11423,  ,110.93,87.81,,010,N,
,11424,  ,127.82,100.92,,010,N,
,11426,  ,183.18,153.83,,010,N,
,11440,  ,72.47,56.24,,010,N,
,11441,  ,91.81,73.14,,010,N,
,11442,  ,103.15,81.14,,010,N,
,11443,  ,123.38,100.04,,010,N,
,11444,  ,155.61,128.27,,010,N,
,11446,  ,213.41,182.29,,010,N,
,11450,  ,199.18,135.60,,090,N,
,11451,  ,257.20,176.51,,090,N,
,11462,  ,196.51,130.49,,090,N,
,11463,  ,263.87,179.40,,090,N,
,11470,  ,217.63,152.94,,090,N,
,11471,  ,270.98,190.73,,090,N,
,11600,  ,102.04,65.80,,010,N,
,11601,  ,124.93,84.25,,010,N,
,11602,  ,137.16,92.92,,010,N,
,11603,  ,155.83,110.26,,010,N,
,11604,  ,172.28,120.93,,010,N,
,11606,  ,243.86,179.17,,010,N,
,11620,  ,104.04,66.91,,010,N,
,11621,  ,126.04,85.14,,010,N,
,11622,  ,142.27,98.03,,010,N,
,11623,  ,166.28,120.49,,010,N,
,11624,  ,186.95,136.49,,010,N,
,11626,  ,226.08,168.95,,010,N,
,11640,  ,108.48,69.80,,010,N,
,11641,  ,131.82,90.03,,010,N,
,11642,  ,151.83,106.04,,010,N,
,11643,  ,178.73,132.49,,010,N,
,11644,  ,220.08,164.28,,010,N,
,11646,  ,288.99,229.41,,010,N,
,11719,  ,12.00,5.11,,000,N,
,11720,  ,17.34,9.34,,000,N,
,11721,  ,24.23,16.01,,000,N,
,11730,  ,54.24,32.23,,000,N,
,11732,  ,24.90,16.89,,000,N,
,11740,  ,25.34,18.01,,000,N,
,11750,  ,121.60,100.04,,010,N,
,11752,  ,173.84,150.05,,010,N,
,11755,  ,74.03,47.57,,000,N,
,11760,  ,115.82,74.69,,010,N,
,11762,  ,150.72,110.93,,010,N,
,11765,  ,73.58,38.68,,010,N,
,11770,  ,146.50,101.59,,010,N,
,11771,  ,303.44,237.86,,090,N,
,11772,  ,366.80,310.78,,090,N,
,11900,  ,31.79,18.23,,000,N,
,11901,  ,40.46,28.45,,000,N,
L,11920,  ,99.81,65.80,,000,N,
L,11921,  ,114.26,77.36,,000,N,
,11922,  ,#,#,,000,N,
,11950,  ,#,#,,000,N,
,11951,  ,#,#,,000,N,
,11952,  ,#,#,,000,N,
,11954,  ,#,#,,000,N,
L,11960,  ,522.85,522.85,,090,N,
L,11970,  ,343.23,343.23,,090,N,
L,11971,  ,260.09,175.84,,090,N,
,11975,  ,#,#,,000,N,
,11976,  ,83.58,56.02,,000,N,
,11977,  ,#,#,,000,N,
L,11980,  ,60.02,47.35,,000,N,
L,11981,  ,77.14,49.57,,000,N,
L,11982,  ,86.92,59.35,,000,N,
L,11983,  ,133.60,107.82,,000,N,
,12001,  ,84.25,60.02,,010,N,
,12002,  ,89.36,66.47,,010,N,
,12004,  ,105.37,77.81,,010,N,
,12005,  ,130.93,96.26,,010,N,
,12006,  ,162.06,121.60,,010,N,
,12007,  ,181.84,137.60,,010,N,
,12011,  ,89.59,62.02,,010,N,
,12013,  ,98.48,70.47,,010,N,
,12014,  ,115.60,84.25,,010,N,
,12015,  ,144.94,105.37,,010,N,
,12016,  ,172.73,128.04,,010,N,
,12017,  ,149.83,149.83,,010,N,
,12018,  ,181.84,181.84,,010,Y,
,12020,  ,150.05,106.26,,010,N,
,12021,  ,88.70,77.14,,010,N,
,12031,  ,134.71,91.37,,010,N,
,12032,  ,171.39,111.37,,010,N,
,12034,  ,170.06,116.49,,010,N,
,12035,  ,206.29,135.16,,010,N,
,12036,  ,225.41,154.28,,010,N,
,12037,  ,253.20,179.17,,010,N,
,12041,  ,140.72,97.37,,010,N,
,12042,  ,162.95,113.82,,010,N,
,12044,  ,190.07,121.38,,010,N,
,12045,  ,207.18,139.60,,010,N,
,12046,  ,253.20,167.84,,010,N,
,12047,  ,269.87,184.51,,010,Y,
,12051,  ,150.05,103.81,,010,N,
,12052,  ,171.17,123.38,,010,N,
,12053,  ,188.29,123.82,,010,N,
,12054,  ,199.40,130.93,,010,N,
,12055,  ,238.97,158.28,,010,N,
,12056,  ,279.88,182.73,,010,N,
,12057,  ,310.11,216.30,,010,Y,
,13100,  ,176.73,134.49,,010,N,
,13101,  ,223.86,164.06,,010,N,
,13102,  ,60.69,43.57,,000,N,
,13120,  ,183.62,140.72,,010,N,
,13121,  ,249.42,187.62,,010,N,
,13122,  ,67.58,49.57,,000,N,
,13131,  ,203.18,158.94,,010,N,
,13132,  ,328.78,270.98,,010,N,
,13133,  ,95.59,77.14,,000,N,
,13150,  ,201.85,157.39,,010,N,
,13151,  ,230.30,183.40,,010,N,
,13152,  ,318.33,247.20,,010,N,
,13153,  ,104.70,83.14,,000,N,
,13160,  ,461.49,461.49,,090,N,
,14000,  ,349.23,287.88,,090,N,
,14001,  ,452.16,379.91,,090,N,
,14020,  ,392.36,328.34,,090,N,
,14021,  ,495.06,421.26,,090,N,
,14040,  ,434.82,371.91,,090,N,
,14041,  ,540.41,458.83,,090,N,
,14060,  ,442.38,392.58,,090,N,
,14061,  ,579.76,489.95,,090,N,
,14301,,625.11,527.52,,090,Y,
,14302,,136.49,136.49,,000,N,
,14350,  ,424.15,424.15,,090,N,
,15002,,187.18,129.82,,000,N,
,15003,,40.90,26.45,,000,N,
,15004,,223.19,159.39,,000,N,
,15005,,68.25,52.46,,000,N,
,15040,  ,142.05,73.80,,000,N,
,15050,  ,308.33,252.53,,090,N,
,15100,  ,484.84,407.92,,090,N,
,15101,  ,105.15,64.02,,000,N,
,15110,  ,479.95,420.37,,090,N,
,15111,  ,68.47,61.58,,000,N,
,15115,  ,485.28,432.60,,090,N,
,15116,  ,95.14,86.92,,000,N,
,15120,  ,533.08,449.94,,090,N,
,15121,  ,149.16,98.48,,000,N,
,15130,  ,377.47,318.78,,090,N,
,15131,  ,55.13,50.02,,000,N,
,15135,  ,487.73,436.60,,090,N,
,15136,  ,49.35,45.79,,000,N,
,15150,  ,394.58,363.02,,090,N,
,15151,  ,71.58,66.25,,000,N,
,15152,  ,91.81,85.81,,000,N,
,15155,  ,389.91,363.91,,090,N,
,15156,  ,100.48,95.37,,000,N,
,15157,  ,104.48,97.59,,000,N,
,15170,  ,243.64,210.96,,090,N,
,15171,  ,53.80,51.13,,000,N,
,15175,  ,299.66,268.98,,090,N,
,15176,  ,84.92,79.81,,000,N,
,15200,  ,456.38,377.69,,090,N,
,15201,  ,82.25,45.57,,000,N,
,15220,  ,431.04,353.68,,090,N,
,15221,  ,76.92,42.24,,000,N,
,15240,  ,521.74,456.83,,090,N,
,15241,  ,103.15,65.58,,000,N,
,15260,  ,567.98,496.84,,090,N,
,15261,  ,120.93,83.36,,000,N,
,15300,  ,194.96,166.50,,090,N,
,15301,  ,36.23,33.35,,000,N,
,15320,  ,214.74,183.62,,090,N,
,15321,  ,53.80,50.02,,000,N,
,15330,  ,179.62,150.72,,090,N,
,15331,  ,36.23,33.57,,000,N,
,15335,  ,182.51,154.28,,090,N,
,15336,  ,46.91,42.46,,000,N,
,15340,  ,177.84,153.16,,010,N,
,15341,  ,26.45,15.34,,000,N,
,15360,  ,202.52,173.39,,090,N,
,15361,  ,40.24,36.46,,000,N,
,15365,  ,195.62,169.61,,090,N,
,15366,  ,48.02,44.02,,000,N,
,15400,  ,224.97,201.40,,090,N,
,15401,  ,52.02,33.12,,000,N,
,15420,  ,248.98,220.97,,090,N,
,15421,  ,64.91,49.35,,000,N,
,15430,  ,302.11,290.77,,090,N,
,15431,  ,B.R.,B.R.,,000,N,
,15570,  ,498.84,409.92,,090,N,
,15572,  ,484.39,415.26,,090,N,
,15574,  ,510.18,437.49,,090,N,
,15576,  ,453.71,385.25,,090,N,
,15600,  ,181.17,114.71,,090,N,
,15610,  ,186.07,134.49,,090,N,
,15620,  ,244.97,181.62,,090,N,
,15630,  ,258.98,198.07,,090,N,
,15650,  ,287.21,221.41,,090,N,
,15731,,646.00,586.21,,090,N,
,15732,  ,851.63,761.82,,090,N,
,15734,  ,867.86,772.94,,090,Y,
,15736,  ,760.71,661.56,,090,N,
,15738,  ,812.95,720.92,,090,Y,
,15740,  ,579.76,499.95,,090,N,
,15750,  ,524.18,524.18,,090,Y,
,15756,  ,"1,360.25","1,360.25",,090,Y,
,15757,  ,"1,351.36","1,351.36",,090,Y,
,15758,  ,"1,345.36","1,345.36",,090,Y,
,15760,  ,479.50,407.25,,090,N,
,15770,  ,378.13,378.13,,090,Y,
,15775,  ,#,#,,000,N,
,15776,  ,#,#,,000,N,
,15780,  ,467.27,367.24,,090,N,
,15781,  ,302.77,244.97,,090,N,
,15782,  ,321.67,236.53,,090,N,
,15783,  ,273.43,212.52,,090,N,
,15786,  ,136.05,80.69,,010,N,
,15787,  ,27.34,10.67,,000,N,
,15788,  ,242.53,136.27,,090,N,
,15789,  ,315.44,241.42,,090,N,
,15792,  ,235.19,146.94,,090,N,
,15793,  ,268.98,204.96,,090,N,
,15819,  ,#,#,,090,N,
,15820,  ,#,#,,090,N,
,15821,  ,#,#,,090,N,
,15822,  ,241.64,214.52,EPA,090,N,
,15823,  ,387.25,357.46,EPA,090,N,
,15824,  ,#,#,,000,N,
,15825,  ,#,#,,000,N,
,15826,  ,#,#,,000,N,
,15828,  ,#,#,,000,N,
,15829,  ,#,#,,000,N,
,15830,,660.90,660.90,PA,090,Y,
,15832,  ,#,#,,090,Y,
,15833,  ,#,#,,090,N,
,15834,  ,#,#,,090,N,
,15835,  ,#,#,,090,N,
,15836,  ,#,#,,090,N,
,15837,  ,#,#,,090,N,
,15838,  ,#,#,,090,N,
,15839,  ,#,#,,090,N,
,15840,  ,585.09,585.09,,090,N,
,15841,  ,955.45,955.45,,090,Y,
,15842,  ,"1,460.29","1,460.29",,090,Y,
,15845,  ,557.75,557.75,,090,Y,
,15847,,#,#,,000,Y,
,15850,  ,Bundled,Bundled,,000,N,
,15851,  ,52.91,26.90,,000,N,
,15852,  ,27.57,27.57,,000,N,
,15860,  ,66.25,66.25,,000,N,
,15876,  ,#,#,,000,N,
,15877,  ,#,#,,000,N,
,15878,  ,#,#,,000,N,
,15879,  ,#,#,,000,N,
,15920,  ,337.01,337.01,,090,N,
,15922,  ,416.81,416.81,,090,Y,
,15931,  ,381.69,381.69,,090,N,
,15933,  ,471.05,471.05,,090,N,
,15934,  ,522.41,522.41,,090,N,
,15935,  ,622.66,622.66,,090,Y,
,15936,  ,504.62,504.62,,090,N,
,15937,  ,589.10,589.10,,090,N,
,15940,  ,390.80,390.80,,090,N,
,15941,  ,509.29,509.29,,090,N,
,15944,  ,501.51,501.51,,090,N,
,15945,  ,556.64,556.64,,090,N,
,15946,  ,930.33,930.33,,090,N,
,15950,  ,324.11,324.11,,090,N,
,15951,  ,458.60,458.60,,090,N,
,15952,  ,481.50,481.50,,090,Y,
,15953,  ,547.97,547.97,,090,N,
,15956,  ,650.67,650.67,,090,N,
,15958,  ,663.57,663.57,,090,N,
,15999,  ,B.R.,B.R.,,090,N,
,16000,  ,38.90,27.12,,000,N,
,16020,  ,45.79,32.46,,000,N,
,16025,  ,83.36,66.47,,000,N,
,16030,  ,99.59,75.58,,000,N,
,16035,  ,120.71,120.71,,000,N,
,16036,  ,48.91,48.91,,000,N,
,17000,  ,45.13,31.57,,010,N,
,17003,  ,4.22,2.67,,000,N,
,17004,  ,98.92,77.58,,010,N,
,17106,  ,194.07,159.39,,090,N,
,17107,  ,252.98,206.74,,090,N,
,17108,  ,356.57,301.44,,090,N,
,17110,  ,61.35,39.12,,010,N,
,17111,  ,73.36,48.68,,010,N,
,17250,  ,41.57,20.67,,000,N,
,17260,  ,53.80,39.12,,010,N,
,17261,  ,80.47,52.91,,010,N,
,17262,  ,98.03,67.58,,010,N,
,17263,  ,108.04,74.69,,010,N,
,17264,  ,115.60,80.03,,010,N,
,17266,  ,131.60,93.14,,010,N,
,17270,  ,83.81,57.58,,010,N,
,17271,  ,92.48,64.47,,010,N,
,17272,  ,105.37,74.47,,010,N,
,17273,  ,117.60,84.03,,010,N,
,17274,  ,139.38,103.15,,010,N,
,17276,  ,161.39,123.60,,010,N,
,17280,  ,78.47,52.24,,010,N,
