"Colorado Medicaid Fee Schedule January 1, 2015",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after Januar  1, 2015 Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
00600,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00604,,13.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00620,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00622,,13.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00625,,13.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00626,,15.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00630,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00632,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00634,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00635,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00640,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00670,,13.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00700,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00702,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0071T,,20.93,33.77,$706.81,000,999,000,No,
0072T,,20.93,33.77,$706.81,000,999,000,No,
00730,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00740,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00750,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00752,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00754,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00756,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0075T,,21.25,33.77,$717.61,000,999,000,No,
0076T,,2.51,33.77,$84.76,000,999,000,No,
00770,,15.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00790,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00792,,13.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00794,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00796,,30.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00797,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00800,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00802,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00810,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00820,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00830,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00832,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00834,,6.00,20.98,Varies based on total anesthesia time,000,0,000,No,
00836,,6.00,20.98,Varies based on total anesthesia time,000,1,000,No,
00840,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00842,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00844,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00846,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00848,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00851,,7.00,20.98,Varies based on total anesthesia time,021,999,000,No,
0085T,,17.21,1.00,$17.21,000,999,000,No,
00860,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00862,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00864,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00865,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00866,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00868,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00870,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00872,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00873,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00880,,15.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00882,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00902,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00904,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00906,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00908,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00910,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00912,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00914,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00916,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00918,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00920,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00921,,3.00,20.98,Varies based on total anesthesia time,021,999,000,No,
00922,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00924,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00926,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00928,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00930,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00932,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00934,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00936,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00938,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00940,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00942,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00944,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00948,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00950,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
00952,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0095T,,6.32,33.77,$213.43,000,999,000,No,
0098T,,6.32,33.77,$213.43,000,999,000,No,
0099T,,,,Not a benefit,,,,,
0100T,,,,Not a benefit,,,,,
0101T,,549.45,2.78,"$1,527.47",000,999,000,No,
0102T,,549.45,2.78,"$1,527.47",000,999,000,No,
0103T,,18.30,1.00,$18.30,000,999,000,No,
0106T,,,,Not a benefit,,,,,
0107T,,,,Not a benefit,,,,,
0108T,,,,Not a benefit,,,,,
0109T,,,,Not a benefit,,,,,
0110T,,,,Not a benefit,,,,,
01112,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0111T,,21.93,1.00,$21.93,000,999,000,No,
01120,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01130,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01140,,15.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01150,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01160,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01170,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01173,,12.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01180,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01190,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01200,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01202,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01210,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01212,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01214,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01215,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01220,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01230,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01232,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01234,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0123T,,47.76,33.77,"$1,612.86",000,999,000,No,
01250,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01260,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0126T,,32.38,2.78,$90.02,000,999,000,No,
01270,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01272,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01274,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01320,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01340,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01360,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01380,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01382,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01390,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01392,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01400,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01402,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01404,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01420,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01430,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01432,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01440,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01442,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01444,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01462,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01464,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01470,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01472,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01474,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01480,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01482,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01484,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01486,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01490,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01500,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01502,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01520,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01522,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0152T,26,,,Code Is Manually Priced,000,999,000,No,
0159T,26,10.68,7.70,$82.24,000,999,000,Yes,
0159T,TC,10.68,7.70,$82.24,000,999,000,Yes,
0159T,,21.36,7.70,$164.47,000,999,000,Yes,
01610,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01620,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01622,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01630,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01634,,9.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01636,,15.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01638,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0163T,,63.54,33.77,"$2,145.75",000,999,000,No,
0164T,,,,Code Is Manually Priced,000,999,000,No,
01650,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01652,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01654,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01656,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0165T,,,,Code Is Manually Priced,000,999,000,No,
01670,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01680,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01682,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0169T,,29.89,33.77,"$1,009.39",000,999,000,No,
01710,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01712,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01714,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01716,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0171T,,17.41,33.77,$587.94,000,999,000,No,
0172T,,7.27,33.77,$245.51,000,999,000,No,
01730,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01732,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01740,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01742,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01744,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0174T,,2.48,7.70,$19.10,000,999,000,No,
01756,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01758,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0175T,,,,Not a benefit,,,,,
01760,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01770,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01772,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01780,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01782,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0178T,,17.37,7.70,$133.75,000,999,000,No,
0179T,,11.50,7.70,$88.55,000,999,000,No,
0180T,,5.87,7.70,$45.20,000,999,000,No,
01810,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01820,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01829,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0182T,,39.05,7.70,$300.69,000,999,000,No,
01830,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01832,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0183T,,13.27,7.70,$102.18,000,999,000,No,
01840,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01842,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01844,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0184T,,,,Code Is Manually Priced,000,999,000,No,
01850,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01852,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0185T,,,,Code Is Manually Priced,000,999,000,No,
01860,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0188T,,,,Not a benefit,,,,,
0189T,,,,Not a benefit,,,,,
0190T,,413.90,2.78,"$1,150.64",000,999,000,No,
01916,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0191T,,443.00,2.78,"$1,231.54",000,999,000,No,
01920,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01922,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01924,,6.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01925,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01926,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01930,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01931,,8.50,20.98,Varies based on total anesthesia time,000,999,000,No,
01932,,8.50,20.98,Varies based on total anesthesia time,000,999,000,No,
01933,,8.50,20.98,Varies based on total anesthesia time,000,999,000,No,
01935,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01936,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01951,,9.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01952,,9.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01953,,9.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01958,,5.00,20.98,Varies based on total anesthesia time,011,70,000,No,
0195T,,,,Code Is Manually Priced,000,999,000,No,
01960,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01961,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01962,,8.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01963,,10.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01965,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01966,,4.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01967,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01968,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01969,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
0196T,,,,Code Is Manually Priced,000,999,000,No,
0197T,,,,Not a benefit,,,,,
0198T,,11.98,2.78,$33.30,000,999,000,No,
01990,,7.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01991,,3.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01992,,5.00,20.98,Varies based on total anesthesia time,000,999,000,No,
01996,,12.42,1.00,$12.42,000,999,000,No,
01999,,0.00,,Code Is Manually Priced,000,999,000,No,
0199T,,,,Not a benefit,,,,,
0200T,,,,Not a benefit,,,,,
0201T,,,,Not a benefit,,,,,
0202T,,,,Not a benefit,,,,,
0205T,,,,Not a benefit,,,,,
0206T,,,,Not a benefit,,,,,
0207T,,,,Not a benefit,,,,,
0208T,,,,Not a benefit,,,,,
0209T,,,,Not a benefit,,,,,
0210T,,,,Not a benefit,,,,,
0211T,,,,Not a benefit,,,,,
0212T,,,,Not a benefit,,,,,
0213T,,,,Not a benefit,,,,,
0214T,,,,Not a benefit,,,,,
0215T,,,,Not a benefit,,,,,
0216T,,,,Not a benefit,,,,,
0217T,,,,Not a benefit,,,,,
0218T,,,,Not a benefit,,,,,
0219T,,,,Not a benefit,,,,,
0220T,,,,Not a benefit,,,,,
0221T,,,,Not a benefit,,,,,
0222T,,,,Code Is Manually Priced,,,,,
0223T,,,,Code Is Manually Priced,000,999,000,No,
0224T,,,,Code Is Manually Priced,000,999,000,No,
0225T,,,,Code Is Manually Priced,000,999,000,No,
0226T,,,,Code Is Manually Priced,000,999,000,No,
0227T,,,,Code Is Manually Priced,000,999,000,No,
0228T,,,,Code Is Manually Priced,000,999,000,No,
0229T,,,,Code Is Manually Priced,000,999,000,No,
0230T,,,,Code Is Manually Priced,000,999,000,No,
0231T,,,,Code Is Manually Priced,000,999,000,No,
0232T,,,,Code Is Manually Priced,000,999,000,No,
0233T,,,,Code Is Manually Priced,000,999,000,No,
0234T,,,,Code Is Manually Priced,000,999,000,No,
0235T,,,,Code Is Manually Priced,000,999,000,No,
0236T,,,,Code Is Manually Priced,000,999,000,No,
0237T,,,,Code Is Manually Priced,000,999,000,No,
0238T,,,,Code Is Manually Priced,000,999,000,No,
0239T,,,,Code Is Manually Priced,000,999,000,No,
0240T,,,,Code Is Manually Priced,000,999,000,No,
0241T,,,,Code Is Manually Priced,000,999,000,No,
0243T,,,,Code Is Manually Priced,000,999,000,No,
0244T,,,,Code Is Manually Priced,000,999,000,No,
0245T,,,,Code Is Manually Priced,000,999,000,No,
0246T,,,,Code Is Manually Priced,000,999,000,No,
0247T,,,,Code Is Manually Priced,000,999,000,No,
0248T,,,,Code Is Manually Priced,000,999,000,No,
0249T,,,,Code Is Manually Priced,000,999,000,No,
0253T,,,,Code Is Manually Priced,000,999,000,No,
0254T,,,,Code Is Manually Priced,000,999,000,No,
0255T,,,,Code Is Manually Priced,000,999,000,No,
0260T,,,,Not a benefit,,,,,
0261T,,,,Not a benefit,,,,,
0262T,,,,Code Is Manually Priced,000,999,000,No,
0263T,,,,Not a benefit,,,,,
0264T,,,,Not a benefit,,,,,
0265T,,,,Not a benefit,,,,,
0266T,,,,Not a benefit,,,,,
0267T,,,,Not a benefit,,,,,
0268T,,,,Not a benefit,,,,,
0269T,,,,Not a benefit,,,,,
0270T,,,,Not a benefit,,,,,
0271T,,,,Not a benefit,,,,,
0272T,,,,Not a benefit,,,,,
0273T,,,,Not a benefit,,,,,
0274T,,,,Not a benefit,,,,,
0275T,,,,Not a benefit,,,,,
0278T,,,,Not a benefit,,,,,
0281T,,,,Not a benefit,,,,,
0282T,,,,Code Is Manually Priced,000,999,000,Yes,
0283T,,,,Code Is Manually Priced,000,999,000,Yes,
0284T,,,,Code Is Manually Priced,000,999,000,No,
0285T,,,,Code Is Manually Priced,000,999,000,No,
0287T,,,,Code Is Manually Priced,000,999,000,Yes,
0288T,,,,Not a benefit,,,,,
0289T,,,,Not a benefit,,,,,
0290T,,,,Not a benefit,,,,,
0302T,,,,Not a benefit,,,,,
0303T,,,,Not a benefit,,,,,
0304T,,,,Not a benefit,,,,,
0305T,,,,Not a benefit,,,,,
0306T,,,,Not a benefit,,,,,
0307T,,,,Not a benefit,,,,,
0308T,,,,Not a benefit,,,,,
0309T,,,,Not a benefit,,,,,
0310T,,,,Not a benefit,,,,,
0311T,,,,Not a benefit,,,,,
0312T,,,,Not a benefit,,,,,
0313T,,,,Not a benefit,,,,,
0314T,,,,Not a benefit,,,,,
0315T,,,,Not a benefit,,,,,
0316T,,,,Not a benefit,,,,,
0317T,,,,Not a benefit,,,,,
0318T,,,,Not a benefit,,,,,
0319T,,,,Not a benefit,,,,,
0320T,,,,Not a benefit,,,,,
0321T,,,,Not a benefit,,,,,
0322T,,,,Not a benefit,,,,,
0323T,,,,Not a benefit,,,,,
0324T,,,,Not a benefit,,,,,
0325T,,,,Not a benefit,,,,,
0326T,,,,Not a benefit,,,,,
0327T,,,,Not a benefit,,,,,
0328T,,,,Not a benefit,,,,,
0500F,,,,Not a benefit,,,,,
0501F,,,,Not a benefit,,,,,
0502F,,,,Not a benefit,,,,,
0503F,,,,Not a benefit,,,,,
0505F,,,,Not a benefit,,,,,
0507F,,,,Not a benefit,,,,,
0509F,,,,Not a benefit,,,,,
0513F,,,,Not a benefit,,,,,
0514F,,,,Not a benefit,,,,,
0516F,,,,Not a benefit,,,,,
0517F,,,,Not a benefit,,,,,
0518F,,,,Not a benefit,,,,,
0519F,,,,Not a benefit,,,,,
0520F,,,,Not a benefit,,,,,
0521F,,,,Not a benefit,,,,,
0525F,,,,Not a benefit,,,,,
0526F,,,,Not a benefit,,,,,
0528F,,,,Not a benefit,,,,,
0529F,,,,Not a benefit,,,,,
0535F,,,,Not a benefit,,,,,
0540F,,,,Not a benefit,,,,,
0545F,,,,Not a benefit,,,,,
0551F,,,,Not a benefit,,,,,
0555F,,,,Not a benefit,,,,,
